Time(s),Ch4
0.594,0.0835419
0.595,0.0852585
0.596,0.0878334
0.597,0.0901222
0.598,0.0932694
0.599,0.0952721
0.6,0.0975609
0.601,0.1015663
0.602,0.1047135
0.603,0.1078606
0.604,0.1101494
0.605,0.1124382
0.606,0.1164437
0.607,0.1207352
0.608,0.1238823
0.609,0.1253128
0.61,0.1270294
0.611,0.1290321
0.612,0.1307488
0.613,0.1316071
0.614,0.1327515
0.615,0.1330376
0.616,0.1324654
0.617,0.1318932
0.618,0.1304627
0.619,0.1304627
0.62,0.1310349
0.621,0.1307488
0.622,0.1304627
0.623,0.1290321
0.624,0.1273155
0.625,0.125885
0.626,0.1247406
0.627,0.1250267
0.628,0.1250267
0.629,0.1241684
0.63,0.1250267
0.631,0.1250267
0.632,0.1241684
0.633,0.1244545
0.634,0.1238823
0.635,0.123024
0.636,0.1210213
0.637,0.1190186
0.638,0.1181603
0.639,0.1175881
0.64,0.1164437
0.641,0.1155853
0.642,0.1138687
0.643,0.1121521
0.644,0.109005
0.645,0.106144
0.646,0.1038551
0.647,0.0998497
0.648,0.0958443
0.649,0.0932694
0.65,0.0892639
0.651,0.0846863
0.652,0.0803948
0.653,0.0769615
0.654,0.0738144
0.655,0.0695229
0.656,0.0646591
0.657,0.0603676
0.658,0.0563622
0.659,0.0526428
0.66,0.0483513
0.661,0.0440598
0.662,0.0394821
0.663,0.0349045
0.664,0.0311852
0.665,0.0271797
0.666,0.0228882
0.667,0.0191689
0.668,0.0160217
0.669,0.0131607
0.67,0.0094414
0.671,0.0054359
0.672,0.0017166
0.673,-0.0014305
0.674,-0.0042915
0.675,-0.0062943
0.676,-0.0088692
0.677,-0.0114441
0.678,-0.0145912
0.679,-0.0171661
0.68,-0.0197411
0.681,-0.0231743
0.682,-0.0266075
0.683,-0.0303269
0.684,-0.0340462
0.685,-0.0374794
0.686,-0.0389099
0.687,-0.0409126
0.688,-0.0432015
0.689,-0.0454903
0.69,-0.0492096
0.691,-0.0537872
0.692,-0.0589371
0.693,-0.0640869
0.694,-0.0686646
0.695,-0.0738144
0.696,-0.0786782
0.697,-0.0823975
0.698,-0.083828
0.699,-0.0846863
0.7,-0.086689
0.701,-0.0878334
0.702,-0.0884056
0.703,-0.0901222
0.704,-0.0909805
0.705,-0.0918389
0.706,-0.0935555
0.707,-0.0946999
0.708,-0.0958443
0.709,-0.0961304
0.71,-0.0964165
0.711,-0.0972748
0.712,-0.0972748
0.713,-0.0975609
0.714,-0.0981331
0.715,-0.0995636
0.716,-0.1012802
0.717,-0.1024246
0.718,-0.103569
0.719,-0.1044274
0.72,-0.1055718
0.721,-0.1064301
0.722,-0.1067162
0.723,-0.1058579
0.724,-0.1041413
0.725,-0.1038551
0.726,-0.1049996
0.727,-0.1055718
0.728,-0.1070023
0.729,-0.109005
0.73,-0.1095772
0.731,-0.1112938
0.732,-0.1138687
0.733,-0.1152992
0.734,-0.1170159
0.735,-0.1187325
0.736,-0.1204491
0.737,-0.1213074
0.738,-0.1215935
0.739,-0.1233101
0.74,-0.1255989
0.741,-0.1278878
0.742,-0.1293183
0.743,-0.131321
0.744,-0.1333237
0.745,-0.1336098
0.746,-0.1330376
0.747,-0.1327515
0.748,-0.1327515
0.749,-0.1324654
0.75,-0.1316071
0.751,-0.1290321
0.752,-0.1261711
0.753,-0.1238823
0.754,-0.1224518
0.755,-0.1215935
0.756,-0.1184464
0.757,-0.1152992
0.758,-0.1138687
0.759,-0.111866
0.76,-0.1084328
0.761,-0.1041413
0.762,-0.1001358
0.763,-0.0958443
0.764,-0.092125
0.765,-0.0898361
0.766,-0.0884056
0.767,-0.0901222
0.768,-0.0944138
0.769,-0.0987053
0.77,-0.1024246
0.771,-0.1058579
0.772,-0.109005
0.773,-0.1132965
0.774,-0.1167298
0.775,-0.1164437
0.776,-0.1150131
0.777,-0.1135826
0.778,-0.1130104
0.779,-0.1132965
0.78,-0.1138687
0.781,-0.1135826
0.782,-0.1127243
0.783,-0.1135826
0.784,-0.1152992
0.785,-0.1152992
0.786,-0.1150131
0.787,-0.1152992
0.788,-0.1158715
0.789,-0.1152992
0.79,-0.114727
0.791,-0.1132965
0.792,-0.1115799
0.793,-0.1107216
0.794,-0.1098633
0.795,-0.1101494
0.796,-0.1098633
0.797,-0.1092911
0.798,-0.1087189
0.799,-0.1081467
0.8,-0.1081467
0.801,-0.1072884
0.802,-0.1064301
0.803,-0.1055718
0.804,-0.1027107
0.805,-0.0995636
0.806,-0.0972748
0.807,-0.0955582
0.808,-0.0926972
0.809,-0.08955
0.81,-0.0864029
0.811,-0.0835419
0.812,-0.0818253
0.813,-0.080967
0.814,-0.0803948
0.815,-0.0801087
0.816,-0.080967
0.817,-0.0818253
0.818,-0.0829697
0.819,-0.0835419
0.82,-0.0823975
0.821,-0.0815392
0.822,-0.0806809
0.823,-0.080967
0.824,-0.0806809
0.825,-0.0792504
0.826,-0.0775337
0.827,-0.0763893
0.828,-0.0761032
0.829,-0.0749588
0.83,-0.0732422
0.831,-0.0712395
0.832,-0.0689507
0.833,-0.0683785
0.834,-0.0675202
0.835,-0.0658035
0.836,-0.0638008
0.837,-0.0626564
0.838,-0.0620842
0.839,-0.0626564
0.84,-0.0617981
0.841,-0.0592232
0.842,-0.0569344
0.843,-0.0577927
0.844,-0.0589371
0.845,-0.0603676
0.846,-0.0606537
0.847,-0.0606537
0.848,-0.0609398
0.849,-0.0632286
0.85,-0.0649452
0.851,-0.0658035
0.852,-0.0649452
0.853,-0.0635147
0.854,-0.0632286
0.855,-0.0626564
0.856,-0.061512
0.857,-0.0612259
0.858,-0.0612259
0.859,-0.0612259
0.86,-0.0620842
0.861,-0.0629425
0.862,-0.0632286
0.863,-0.0638008
0.864,-0.0646591
